team_location,seed,region,headline,storyline,type
South Dakota State,11,Regional 4,The Summit League's Silent Threat,"NET #39, a 10-game winning streak, and an 11-seed. South Dakota State enters as the most statistically underseeded team in Regional 4 — not a Cinderella, a legitimate Sweet 16 threat. Their WAB ranks top-tier nationally and they arrive peaking at exactly the right time.",cinderella
Tennessee,10,Regional 3,A Top-25 Team Wearing a 10-Seed,NET #22 nationally — but Tennessee draws a 10-seed after going just 2-8 in their final stretch. The regular-season pedigree is real; the momentum is not. A cautionary tale for bracket builders expecting them to upset their way through.,caution
James Madison,12,Regional 3,Closed the Season Flawless,"The Sun Belt's automatic qualifier went 10-0 in their final stretch — the only 12-seed in this bracket to enter on a perfect closing run. JMU draws Kentucky, a 5-seed they would push hard if seeding tracked recent form.",cinderella
Fairfield,11,Regional 1,The MAAC's Best-Kept Secret,"The highest NET-ranked 11-seed in this year's bracket at #53, Fairfield enters unbeaten in their last 10 games. Their matchup with Notre Dame is the most statistically mismatched 6-11 game of the first round.",upset
USC,9,Regional 4,Top-25 NET Hidden in the 9-Line,"A 9-seed carrying a NET rank of #23, USC brings one of the strongest résumés of any single-digit seed in the field. A first-round win would put a legitimately top-25 program in the Sweet 16 conversation immediately.",upset
West Virginia,4,Regional 3,Big 12 Champions — And Underseeded,West Virginia won the Big 12 Conference Tournament and enter as a 4-seed despite a NET rank of #18. Their WAB of 6.66 ranks #14 nationally. Against Miami (OH) to open — a team that should be sweating this matchup.,hot
Howard,14,Regional 1,MEAC Champions Close Perfect,"Howard enters on a 10-game winning streak as MEAC tournament champions. At NET #156 they face long odds against Ohio State, but no 14-seed in this bracket arrives hotter. The definition of a team playing its best basketball heading into March.",cinderella
Ohio State,3,Regional 1,Unranked to Top-10: Only Team This Decade,Ohio State entered December receiving just one vote in the AP Poll. By February they were ranked #8 — the only team this season to start outside the top 25 and crack the top 10. A 3-seed with a WAB ranking in the top-8 nationally. History says teams with this kind of trajectory overperform their seed.,hot
Idaho,13,Regional 4,Big Sky Perfect — 10-0 to Close,"The Big Sky champion closed the regular season 10-0, the longest current winning streak among all 13-seeds. Idaho faces Oklahoma on the strength of a flawless second half — the definition of a team playing its best basketball.",hot
Louisville,3,Regional 3,Dangerous Despite the Dip,"A 3-seed coming off a 6-4 close, Louisville has the NET pedigree (#11) but not the momentum. Their opening matchup against Vermont figures to be tighter than the seed line suggests — this is a team that could make or miss a run depending entirely on whether their early-season form returns.",caution
Princeton,9,Regional 2,Ivy League Elite in the 9-Line,"AP #19 and NET #38, Princeton earned their way into the tournament as a 9-seed. Facing Oklahoma State to open, the Tigers bring a résumé that would be a 5-seed in a NET-seeded bracket. The matchup will be tight regardless of what the seed line says.",upset
Jacksonville,15,Regional 2,ASUN's Hottest Team,"NET #136 but winners of 9 of their last 10, Jacksonville earned their automatic bid on one of the longest active winning streaks among 15-seeds. A statistical long shot against LSU (#2 seed), but peaking at precisely the right time.",cinderella
